trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",25,0,-40.28789313261422,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.81}",20,0,-108.98427693067391,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",20,0,-136.9539311561586,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.6561000000000001}",25,0,-120.49601408842904,"{0: 14, 1: 7, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000002}",20,0,-22.711405714308903,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.5314410000000002}",20,0,-29.812770498477125,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.47829690000000014}",20,11,-18.349071608462943,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.43046721000000016}",20,0,-37.100219166591195,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.38742048900000015}",20,8,1.789445199607899,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.34867844010000015}",25,0,-42.41813910926389,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.31381059609000017}",25,9,3.5417830266758092,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.28242953648100017}",25,14,-0.7894292057765968,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.25418658283290013}",20,8,-22.11849628044619,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.22876792454961012}",30,0,-29.74478205465868,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.2058911320946491}",20,9,1.0514155819081874,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.1853020188851842}",20,6,25.249884235222606,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",20,10,15.906521014091663,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1500946352969992}",25,13,21.311579319664425,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",30,18,-23.36603569181222,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.12157665459056936}",25,8,26.954119357042728,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.10941898913151243}",20,6,20.165593611350506,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.0984770902183612}",20,6,-11.589301814060924,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.08862938119652508}",25,11,25.722769624871773,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.07976644307687257}",20,8,22.377835917317135,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.07178979876918531}",20,10,18.232615752320278,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.06461081889226679}",20,6,6.216273475399422,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.05814973700304011}",35,26,17.50172431448616,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.0523347633027361}",20,11,18.600419084874,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.04710128697246249}",30,3,34.80506424482548,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.042391158275216244}",25,15,18.003649863856616,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.03815204244769462}",20,9,24.135582201351674,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.03433683820292516}",20,16,6.6556414199593155,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.030903154382632643}",20,13,13.144545745619899,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.02781283894436938}",20,3,12.099328496658552,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
